R1,R2
1.837473605,2.015868755
1.378924975,1.5001391
1.507069442,1.715184167
1.365252068,1.448851567
1.326313001,1.581685559
1.691085696,1.7956986
1.643362013,1.677048056
1.324798145,1.536787683
1.561541558,1.806591508
1.605542605,1.848523443
1.337922178,1.486940033
1.57279078,1.763320215
1.466642708,1.577285118
1.521793162,1.837548204
1.292348412,1.47614483
1.826998272,1.900039966
1.446387694,1.699787886
1.581989755,1.729926995
1.439164645,1.583418996
1.636610902,1.672562845
1.301926304,1.432655793
1.641408912,1.724068846
1.457929774,1.669789548
1.618135645,1.782301935
1.60066436,1.738424551
1.45861415,1.674785462
1.300249212,1.583258238
1.366552206,1.631635033
1.334753714,1.678688412
1.521247969,1.607447052
1.390508322,1.63377133
1.357698705,1.478954927
1.58819069,1.696617698
1.589189071,1.732790881
1.379238087,1.617812717
1.615388638,1.721951663
1.484350981,1.757246
1.602028935,1.818631906
1.524990254,1.702130326
1.675169524,1.967555446
1.60332321,1.737526533
1.496766986,1.804381473
1.771219541,1.892897637
1.347287207,1.456016083
1.453061452,1.753232471
1.636238723,1.916020305
1.640444866,1.900935706
1.72953731,1.838070947
1.557079027,1.694683385
1.416641895,1.599918759
1.448531076,1.569705028
1.25573978,1.836186297
1.569358226,1.741180653
1.587763936,1.865667713
1.56463126,1.698317982
1.786777427,1.921240547
1.313400563,1.541433469
1.354732868,1.496918016
1.445462523,1.498772725
1.569345044,1.819181563
1.565272457,1.757617831
1.427952155,1.881975908
1.459957476,1.508870813
1.322181476,1.634270382
1.388712448,1.628378299
